brand,name,old_price_reais,old_price_cents,new_price_reais,new_price_cents,reviews_rating_number,reviews_amount
,Tenis Olympikus Dynamic Masculino Esportivo  Original,279,90,27,37,4.8,(211)
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,159,90,110,33,4.4,(605)
,Tênis Esportivo It Shoes Amortecedor Gel Masculino,179,90,104,90,4.6,(1906)
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,90,71,01,4.2,(5233)
NEW BALANCE,Tênis New Balance Fresh Foam X 1080v14 Masculino Corrida,1.159,90,115,,,
UNDER ARMOUR,Under Armour Charged Great Masculino Adultos,324,99,209,99,5.0,(11)
FILA,Fila Racer Comet Masculino Adultos,362,49,251,99,4.7,(71)
OLYMPIKUS,Tênis Masculino Olympikus Triunfo 3,229,99,22,55,,
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,78,42,69,14,4.6,(3600)
FILA,Tênis Fila Masculino Street Fit Resistênte Confortável,369,80,281,04,4.8,(166)
FILA,Tênis Fila Racer Speedzone Corrida Confortável - Original,749,99,599,99,5.0,(13)
,Tênis Academia Caminhada Leve Barato Corrida,79,90,26,63,5.0,(1)
MIZUNO,Mizuno Wave Mirai 6 Masculino Adultos,529,32,476,38,4.7,(195)
,Tênis Número Especial Esportivo Corrida E Academia 44-48,159,90,108,73,4.4,(180)
MIZUNO,Tênis Mizuno Wave Stratos 2 Marinho/prata Masculino,799,90,79,99,,
NIKE,Tênis Nike Revolution 7 Masculino,399,99,279,99,4.8,(324)
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,99,158,69,4.7,(4277)
OLYMPIKUS,Olympikus Subverse Masculino Adultos,349,99,262,49,5.0,(10)
,Kit 3 Tênis Masculino Esportivo Academia Caminhada Corrida,239,90,179,92,,
,Tênis Esportivo Confort Fitness Academia Anti-impacto Azul,64,99,21,66,5.0,(1)
ASICS,Asics Gel-nimbus 26 Masculino Adultos Preto,1.199,17,995,52,,
MIZUNO,Tênis Mizuno Pro13 Vietnã Masculino Azul C Preto Versao 2024,624,99,568,74,,
UNDER ARMOUR,Tênis Under Armour Ua Ch.hit Se Corrida Caminhada Masculino,499,99,299,99,5.0,(24)
,Tenis  Masculino Promoção  Lançamento Original  Confortável.,69,90,59,41,4.6,(648)
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,62,90,59,75,4.6,(893)
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,74,95,4.5,(1749)
ASICS,Asics Gel-nimbus 26 Tr Verde Masculino Adultos,1.298,46,999,95,,
OLYMPIKUS,Tenis Olympikus Unissex Esportivo Rua Knit Eleva Original,239,95,179,90,4.9,(17)
,Tênis Masculino Original Preto Para Caminhada De Academia,114,80,68,88,4.8,(12)
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,25,97,4.5,(6449)
,Tênis Masculino Academia Caminhada Corrida Training Bylbow,129,90,71,44,4.6,(4091)
OLYMPIKUS,Olympikus Casual Eros Sem gênero Adultos,219,10,197,85,4.7,(652)
OLYMPIKUS,Tênis Olympikus Masculino Conex,199,99,19,61,,
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,78,97,7,74,4.4,(3232)
FILA,Fila Float Maxxi 2 Masculino Adultos,699,99,489,99,4.8,(13)
BOX200,Tênis Masculino Tamanho Especial Esporte Caminhada Box 200,89,90,76,41,4.5,(872)
,Tênis Esportivo Masculino Feminino Academia Macio Novo Leve,129,90,89,63,4.3,(3)
UNDER ARMOUR,Under Armour Tribase Cross SE Masculino Adultos,687,49,447,85,4.7,(13)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,90,69,43,4.2,(265)
,Tênis Masculino Preto Para Caminhada De Academia Esportivo,109,99,65,99,4.8,(66)
ASCENSION,Tênis Casual Slip On Antiderrapante Calce Fácil Solado Pvc,119,99,40,,,
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,279,40,149,65,4.6,(3044)
,Tenis Polo Running Caminhada Masculino  Academia Super Leve,99,98,68,98,4.6,(68)
,Tênis Masculino Academia Caminhada Esportivo Original Barato,109,77,65,86,4.7,(290)
HOKA,Tênis Hoka Mach X 2 Cinza E Verde Masculino,1.699,39,163,,,
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,78,90,64,69,4.5,(3380)
UNDER ARMOUR,Tênis Original Under Armour Ua Ch.hit Se Macio - Masculino,499,99,289,99,4.9,(8)
FILA,Tenis Masculino Fila Freestyle Energized Rubber - Original,446,32,235,70,4.7,(71)
NEW BALANCE,Tênis New Balance Fresh Foam X Evoz V3 Marinho Masculino,499,99,50,,,
FILA,Fila Recovery Masculino Adultos,399,99,283,99,4.7,(1879)
OLYMPIKUS,Tênis Olympikus Volcan 2 Caminhada Treino Corrida Academia,189,87,18,61,4.9,(23)
VIA LIVRE,Tenis Masculino Caminhada Corrida Casual Confortavel Promoça,134,90,103,33,4.4,(181)
OLYMPIKUS,Tênis Caminhada Masculino Olympikus Esportivo Oferta Macio,279,99,177,65,4.8,(79)
FXB,Tênis Masculino Caminhada Academia Esportivo Origina Fxb 515,69,90,59,41,4.5,(343)
FILA,Tênis Fila Fire Cinza E Preto,312,85,31,29,4.9,(8)
,Tenis Masculino Academia Corrida Caminhada Leve Barato,69,90,59,41,4.6,(1393)
FILA,Tênis Fila Recovery Esportivo Corrida Academia Original Pro,243,74,177,99,4.8,(262)
